SampleID,Layer,Component,Quantity
HYUNDAI 3M (S1)-LS,1,LS 90,94.1
HYUNDAI 3M (S1)-LS,1,LS 59,2.6
HYUNDAI 3M (S1)-LS,1,LS 67,1.9
HYUNDAI 3M (S1)-LS,1,LS 49,0.9
HYUNDAI 3M (S1)-LS,1,LS 20,0.5
HYUNDAI 3M (S2)-LS,1,LS 90,94.8
HYUNDAI 3M (S2)-LS,1,LS 59,2.3
HYUNDAI 3M (S2)-LS,1,LS 67,2
HYUNDAI 3M (S2)-LS,1,LS 20,0.9
HYUNDAI GT (S1)-LS,1,LS 90,97.2
HYUNDAI GT (S1)-LS,1,LS 29,1.7
HYUNDAI GT (S1)-LS,1,LS 59,0.6
HYUNDAI GT (S1)-LS,1,LS 69,0.5
HYUNDAI GT (S2)-LS,1,LS 90,94.5
HYUNDAI GT (S2)-LS,1,LS 29,3.1
HYUNDAI GT (S2)-LS,1,LS 69,2
HYUNDAI GT (S2)-LS,1,LS 59,0.4
HYUNDAI 9Z (S2)-LS,1,LS 90,98.8
HYUNDAI 9Z (S2)-LS,1,LS 20,0.6
HYUNDAI 9Z (S2)-LS,1,LS 67,0.6
AUDI LA9B (S1)-LS,1,LS 90,94.6
AUDI LA9B (S1)-LS,1,LS 79,3.2
AUDI LA9B (S1)-LS,1,LS 20,1.6
AUDI LA9B (S1)-LS,1,LS 61,0.6
AUDI LA9B (S2)-LS,1,LS 90,96.8
AUDI LA9B (S2)-LS,1,LS 79,1.4
AUDI LA9B (S2)-LS,1,LS 20,1.4
AUDI LA9B (S2)-LS,1,LS 61,0.4
AUDI LA9B (S3)-LS,1,LS 90,96.8
AUDI LA9B (S3)-LS,1,LS 59,1.3
AUDI LA9B (S3)-LS,1,LS 20,0.8
AUDI LA9B (S3)-LS,1,LS 67,0.6
AUDI LA9B (S3)-LS,1,LS 79,0.5
AUDI LB9A (S1)-LS,1,LS 90,96.7
AUDI LB9A (S1)-LS,1,LS 20,1.9
AUDI LB9A (S1)-LS,1,LS 67,0.8
AUDI LB9A (S1)-LS,1,LS 79,0.6
AUDI LB9A (S2)-LS,1,LS 90,95.3
AUDI LB9A (S2)-LS,1,LS 79,2.3
AUDI LB9A (S2)-LS,1,LS 20,1.5
AUDI LB9A (S2)-LS,1,LS 67,0.9
HYUNDAI NAA (S1)-LS,1,LS 90,85.9
HYUNDAI NAA (S1)-LS,1,LS 49,7
HYUNDAI NAA (S1)-LS,1,LS 79,3
HYUNDAI NAA (S1)-LS,1,LS 67,2.9
HYUNDAI NAA (S1)-LS,1,LS 20,1.2
HYUNDAI NAA (S2)-LS,1,LS 90,97.2
HYUNDAI NAA (S2)-LS,1,LS 20,1.4
HYUNDAI NAA (S2)-LS,1,LS 67,1.3
HYUNDAI NAA (S2)-LS,1,LS 79,0.1
HYUNDAI NW (S1)-LS,1,LS 90,96.2
HYUNDAI NW (S1)-LS,1,LS 59,2
HYUNDAI NW (S1)-LS,1,LS 20,1.4
HYUNDAI NW (S1)-LS,1,LS 67,0.4
HYUNDAI NW (S2)-LS,1,LS 90,94.1
HYUNDAI NW (S2)-LS,1,LS 49,4.4
HYUNDAI NW (S2)-LS,1,LS 20,0.9
HYUNDAI NW (S2)-LS,1,LS 67,0.6
HYUNDAI OA (S1)-LS,1,LS 90,97.2
HYUNDAI OA (S1)-LS,1,LS 67,2
HYUNDAI OA (S1)-LS,1,LS 59,0.5
HYUNDAI OA (S1)-LS,1,LS 20,0.3
HYUNDAI PT (S1)-LS,1,LS 90,91.1
HYUNDAI PT (S1)-LS,1,LS 49,4.2
HYUNDAI PT (S1)-LS,1,LS 67,3.2
HYUNDAI PT (S1)-LS,1,LS 25,1.5
AUDI LC9A (S1)-LS,1,LS 90,95
AUDI LC9A (S1)-LS,1,LS 49,3.4
AUDI LC9A (S1)-LS,1,LS 20,0.9
AUDI LC9A (S1)-LS,1,LS 67,0.7
HYUNDAI SW (S2)-LS,1,LS 90,96.7
HYUNDAI SW (S2)-LS,1,LS 67,1.3
HYUNDAI SW (S2)-LS,1,LS 59,1.1
HYUNDAI SW (S2)-LS,1,LS 20,0.7
HYUNDAI SW (S2)-LS,1,LS 61,0.2
HYUNDAI RBC (S1)-LS,1,LS 90,91
HYUNDAI RBC (S1)-LS,1,LS 49,3.4
HYUNDAI RBC (S1)-LS,1,LS 79,2
HYUNDAI RBC (S1)-LS,1,LS 20,1.8
HYUNDAI RBC (S1)-LS,1,LS 67,1.8
AUDI LY9G (S1)-LS,1,LS 90,97.4
AUDI LY9G (S1)-LS,1,LS 29,2.2
AUDI LY9G (S1)-LS,1,LS 67,0.4
AUDI LR9A (S1)-LS,1,LS 90,96.4
AUDI LR9A (S1)-LS,1,LS 67,2.1
AUDI LR9A (S1)-LS,1,LS 20,0.8
AUDI LR9A (S1)-LS,1,LS 59,0.7
DAEWOO 10L (S1)-LS,1,LS 90,92.1
DAEWOO 10L (S1)-LS,1,LS 49,4.6
DAEWOO 10L (S1)-LS,1,LS 79,1.9
DAEWOO 10L (S1)-LS,1,LS 20,1.2
DAEWOO 10L (S1)-LS,1,LS 61,0.2
DAEWOO 11U (S1)-LS,1,LS 90,99
DAEWOO 11U (S1)-LS,1,LS 20,0.7
DAEWOO 11U (S1)-LS,1,LS 67,0.3
AUDI LY9G (S2)-LS,1,LS 90,98.4
AUDI LY9G (S2)-LS,1,LS 29,1.1
AUDI LY9G (S2)-LS,1,LS 67,0.5
DAEWOO 10L (S2)-LS,1,LS 90,94.6
DAEWOO 10L (S2)-LS,1,LS 49,3.2
DAEWOO 10L (S2)-LS,1,LS 20,1
DAEWOO 10L (S2)-LS,1,LS 79,0.7
DAEWOO 10L (S2)-LS,1,LS 67,0.5
HYUNDAI UD (S1)-LS,1,LS 90,96.8
HYUNDAI UD (S1)-LS,1,LS 67,1.5
HYUNDAI UD (S1)-LS,1,LS 20,0.8
HYUNDAI UD (S1)-LS,1,LS 59,0.8
HYUNDAI UD (S1)-LS,1,LS 61,0.1
AUDI LH9L (S1)-LS,1,LS 90,97
AUDI LH9L (S1)-LS,1,LS 69,2
AUDI LH9L (S1)-LS,1,LS 49,0.6
AUDI LH9L (S1)-LS,1,LS 29,0.4
HYUNDAI TRP (S1)-LS,1,LS 86,59.8
HYUNDAI TRP (S1)-LS,1,LS 82,33.5
HYUNDAI TRP (S1)-LS,1,LS 88,5.4
HYUNDAI TRP (S1)-LS,1,LS 90,1.3
HYUNDAI UD (S2)-LS,1,LS 90,98.2
HYUNDAI UD (S2)-LS,1,LS 67,1
HYUNDAI UD (S2)-LS,1,LS 20,0.8
HYUNDAI WW (S1)-LS,1,LS 90,96.3
HYUNDAI WW (S1)-LS,1,LS 20,1.8
HYUNDAI WW (S1)-LS,1,LS 79,1.6
HYUNDAI WW (S1)-LS,1,LS 67,0.3
HYUNDAI WAB (S1)-LS,1,LS 90,95.2
HYUNDAI WAB (S1)-LS,1,LS 49,2.2
HYUNDAI WAB (S1)-LS,1,LS 29,1.4
HYUNDAI WAB (S1)-LS,1,LS 67,1.2
HYUNDAI NGA (S1)-LS,1,LS 82,86.8
HYUNDAI NGA (S1)-LS,1,LS 88,10.6
HYUNDAI NGA (S1)-LS,1,LS 90,2.6
HYUNDAI IA (S2)-LS,1,LS 62,74.4
HYUNDAI IA (S2)-LS,1,LS 90,14.2
HYUNDAI IA (S2)-LS,1,LS 66,9.4
HYUNDAI IA (S2)-LS,1,LS 29,2
NISSAN 002 (S1)-LS,1,LS 90,97.6
NISSAN 002 (S1)-LS,1,LS 67,1.2
NISSAN 002 (S1)-LS,1,LS 20,0.6
NISSAN 002 (S1)-LS,1,LS 49,0.6
NISSAN D31 (S1)-LS,1,LS 90,96.4
NISSAN D31 (S1)-LS,1,LS 49,2.7
NISSAN D31 (S1)-LS,1,LS 20,0.9
NISSAN 326 (S1)-LS,1,LS 90,94.4
NISSAN 326 (S1)-LS,1,LS 49,2.2
NISSAN 326 (S1)-LS,1,LS 29,1.9
NISSAN 326 (S1)-LS,1,LS 79,0.8
NISSAN 326 (S1)-LS,1,LS 67,0.7
KIA UC (S1)-LS,1,LS 90,98.1
KIA UC (S1)-LS,1,LS 29,1
KIA UC (S1)-LS,1,LS 49,0.6
KIA UC (S1)-LS,1,LS 67,0.3
KIA UC (S2)-LS,1,LS 90,95.7
KIA UC (S2)-LS,1,LS 69,2.9
KIA UC (S2)-LS,1,LS 29,0.8
KIA UC (S2)-LS,1,LS 79,0.6
KIA WD (S1)-LS,1,LS 90,89.6
KIA WD (S1)-LS,1,LS 49,8
KIA WD (S1)-LS,1,LS 69,1.7
KIA WD (S1)-LS,1,LS 20,0.7
KIA WD (S2)-LS,1,LS 90,89.6
KIA WD (S2)-LS,1,LS 49,8.7
KIA WD (S2)-LS,1,LS 20,0.9
KIA WD (S2)-LS,1,LS 69,0.4
KIA WD (S2)-LS,1,LS 79,0.4
KIA PT (S1)-LS,1,LS 90,96.5
KIA PT (S1)-LS,1,LS 49,2.4
KIA PT (S1)-LS,1,LS 67,0.6
KIA PT (S1)-LS,1,LS 20,0.5
KIA 1D (S1)-LS,1,LS 90,96.3
KIA 1D (S1)-LS,1,LS 67,1.3
KIA 1D (S1)-LS,1,LS 49,1.1
KIA 1D (S1)-LS,1,LS 20,1
KIA 1D (S1)-LS,1,LS 79,0.3
KIA 7F (S1)-LS,1,LS 90,97.4
KIA 7F (S1)-LS,1,LS 20,0.9
KIA 7F (S1)-LS,1,LS 49,0.9
KIA 7F (S1)-LS,1,LS 67,0.5
KIA 7F (S1)-LS,1,LS 79,0.3
KIA 7F (S2)-LS,1,LS 90,94.8
KIA 7F (S2)-LS,1,LS 49,2.6
KIA 7F (S2)-LS,1,LS 79,1.3
KIA 7F (S2)-LS,1,LS 20,1
KIA 7F (S2)-LS,1,LS 67,0.3
KIA PH (S1)-LS,1,LS 90,91.9
KIA PH (S1)-LS,1,LS 69,4.3
KIA PH (S1)-LS,1,LS 29,1.8
KIA PH (S1)-LS,1,LS 49,1.7
KIA PH (S1)-LS,1,LS 59,0.3
KIA PH (S2)-LS,1,LS 90,98.5
KIA PH (S2)-LS,1,LS 49,1.1
KIA PH (S2)-LS,1,LS 20,0.3
KIA PH (S2)-LS,1,LS 61,0.1
KIA AW (S1)-LS,1,LS 90,97
KIA AW (S1)-LS,1,LS 67,1.9
KIA AW (S1)-LS,1,LS 20,1.1
MAZDA 14L (S1)-LS,1,LS 90,97.5
MAZDA 14L (S1)-LS,1,LS 20,1.5
MAZDA 14L (S1)-LS,1,LS 49,0.6
MAZDA 14L (S1)-LS,1,LS 67,0.4
MAZDA 14L (S2)-LS,1,LS 90,97.5
MAZDA 14L (S2)-LS,1,LS 20,1.6
MAZDA 14L (S2)-LS,1,LS 59,0.6
MAZDA 14L (S2)-LS,1,LS 67,0.3
MAZDA WY (S1)-LS,1,LS 90,97.5
MAZDA WY (S1)-LS,1,LS 67,1.4
MAZDA WY (S1)-LS,1,LS 20,0.6
MAZDA WY (S1)-LS,1,LS 59,0.5
MAZDA WY (S2)-LS,1,LS 90,98.5
MAZDA WY (S2)-LS,1,LS 20,0.9
MAZDA WY (S2)-LS,1,LS 67,0.3
MAZDA WY (S2)-LS,1,LS 61,0.3
MAZDA A4D (S1)-LS,1,LS 90,97.7
MAZDA A4D (S1)-LS,1,LS 69,1.5
MAZDA A4D (S1)-LS,1,LS 20,0.5
MAZDA A4D (S1)-LS,1,LS 49,0.3
MAZDA A4D (S2)-LS,1,LS 90,98.3
MAZDA A4D (S2)-LS,1,LS 20,0.9
MAZDA A4D (S2)-LS,1,LS 49,0.3
MAZDA A4D (S2)-LS,1,LS 67,0.3
MAZDA A4D (S2)-LS,1,LS 79,0.2
MERCEDES 7187 (S1)-LS,1,LS 90,36.4
MERCEDES 7187 (S1)-LS,1,LS 67,26.9
MERCEDES 7187 (S1)-LS,1,LS 20,23.6
MERCEDES 7187 (S1)-LS,1,LS 62,6.2
MERCEDES 7187 (S1)-LS,1,LS 56,3.8
MERCEDES 7187 (S1)-LS,1,LS 77,3.1
MAZDA A3D (S1)-LS,1,LS 90,97.7
MAZDA A3D (S1)-LS,1,LS 69,1.7
MAZDA A3D (S1)-LS,1,LS 20,0.6
MAZDA A2N (S1)-LS,1,LS 90,97.9
MAZDA A2N (S1)-LS,1,LS 67,1
MAZDA A2N (S1)-LS,1,LS 79,0.7
MAZDA A2N (S1)-LS,1,LS 20,0.4
MAZDA A2N (S2)-LS,1,LS 90,97.7
MAZDA A2N (S2)-LS,1,LS 67,1.4
MAZDA A2N (S2)-LS,1,LS 20,0.6
MAZDA A2N (S2)-LS,1,LS 79,0.3
TOYOTA 040 (S1)-LS,1,LS 90,97.2
TOYOTA 040 (S1)-LS,1,LS 79,1.5
TOYOTA 040 (S1)-LS,1,LS 67,0.8
TOYOTA 040 (S1)-LS,1,LS 20,0.5
MERCEDES 147 (S1)-LS,1,LS 90,89.9
MERCEDES 147 (S1)-LS,1,LS 79,3.1
MERCEDES 147 (S1)-LS,1,LS 49,3.1
MERCEDES 147 (S1)-LS,1,LS 69,2.9
MERCEDES 147 (S1)-LS,1,LS 20,1
TOYOTA 045 (S1)-LS,1,LS 90,95.8
TOYOTA 045 (S1)-LS,1,LS 67,1.8
TOYOTA 045 (S1)-LS,1,LS 59,1.4
TOYOTA 045 (S1)-LS,1,LS 20,1
TOYOTA 045 (S2)-LS,1,LS 90,96.7
TOYOTA 045 (S2)-LS,1,LS 67,1.6
TOYOTA 045 (S2)-LS,1,LS 59,1.1
TOYOTA 045 (S2)-LS,1,LS 20,0.6
TOYOTA 040 (S2)-LS,1,LS 90,97.4
TOYOTA 040 (S2)-LS,1,LS 67,0.9
TOYOTA 040 (S2)-LS,1,LS 79,0.9
TOYOTA 040 (S2)-LS,1,LS 59,0.5
TOYOTA 040 (S2)-LS,1,LS 20,0.3
TOYOTA 048 (S1)-LS,1,LS 90,95.2
TOYOTA 048 (S1)-LS,1,LS 59,1.9
TOYOTA 048 (S1)-LS,1,LS 67,1.3
TOYOTA 048 (S1)-LS,1,LS 20,0.8
TOYOTA 048 (S1)-LS,1,LS 49,0.8
TOYOTA 058 (S1)-LS,1,LS 90,95.5
TOYOTA 058 (S1)-LS,1,LS 67,2.2
TOYOTA 058 (S1)-LS,1,LS 59,1.4
TOYOTA 058 (S1)-LS,1,LS 20,0.9
TOYOTA 056 (S1)-LS,1,LS 90,95.9
TOYOTA 056 (S1)-LS,1,LS 79,2.4
TOYOTA 056 (S1)-LS,1,LS 67,1.1
TOYOTA 056 (S1)-LS,1,LS 20,0.6
TOYOTA 056 (S2)-LS,1,LS 90,96.2
TOYOTA 056 (S2)-LS,1,LS 67,2
TOYOTA 056 (S2)-LS,1,LS 79,0.9
TOYOTA 056 (S2)-LS,1,LS 20,0.9
MAZDA A5Y (S1)-LS,1,LS 90,88.4
MAZDA A5Y (S1)-LS,1,LS 69,5.6
MAZDA A5Y (S1)-LS,1,LS 49,3.3
MAZDA A5Y (S1)-LS,1,LS 29,1.9
MAZDA A5Y (S1)-LS,1,LS 79,0.8
MAZDA A5Y (S2)-LS,1,LS 90,91.1
MAZDA A5Y (S2)-LS,1,LS 69,4.2
MAZDA A5Y (S2)-LS,1,LS 49,2.7
MAZDA A5Y (S2)-LS,1,LS 29,1.7
MAZDA A5Y (S2)-LS,1,LS 79,0.3
MAZDA A7A (S1)-LS,1,LS 90,91.7
MAZDA A7A (S1)-LS,1,LS 79,3.5
MAZDA A7A (S1)-LS,1,LS 67,2.9
MAZDA A7A (S1)-LS,1,LS 20,1.9
MAZDA HC (S1)-LS,1,LS 90,93.6
MAZDA HC (S1)-LS,1,LS 20,5.6
MAZDA HC (S1)-LS,1,LS 67,0.8
MAZDA HS (S2)-LS,1,LS 90,93
MAZDA HS (S2)-LS,1,LS 79,3.5
MAZDA HS (S2)-LS,1,LS 67,2.7
MAZDA HS (S2)-LS,1,LS 20,0.8
MAZDA UA (S1)-LS,1,LS 90,94.4
MAZDA UA (S1)-LS,1,LS 29,2.4
MAZDA UA (S1)-LS,1,LS 67,1.2
MAZDA UA (S1)-LS,1,LS 79,1.1
MAZDA UA (S1)-LS,1,LS 49,0.9
TOYOTA 3J6 (S1)-LS,1,LS 86,60.8
TOYOTA 3J6 (S1)-LS,1,LS 99,17.3
TOYOTA 3J6 (S1)-LS,1,LS 74,16.9
TOYOTA 3J6 (S1)-LS,1,LS 88,4.4
TOYOTA 3J6 (S1)-LS,1,LS 20,0.6
MAZDA UB (S1)-LS,1,LS 90,90.5
MAZDA UB (S1)-LS,1,LS 49,4.6
MAZDA UB (S1)-LS,1,LS 79,2.6
MAZDA UB (S1)-LS,1,LS 67,1.2
MAZDA UB (S1)-LS,1,LS 20,1.1
MAZDA UF (S1)-LS,1,LS 90,97.8
MAZDA UF (S1)-LS,1,LS 29,1.2
MAZDA UF (S1)-LS,1,LS 67,0.8
MAZDA UF (S1)-LS,1,LS 79,0.2
MAZDA UF (S2)-LS,1,LS 90,95.5
MAZDA UF (S2)-LS,1,LS 69,3.4
MAZDA UF (S2)-LS,1,LS 49,0.8
MAZDA UF (S2)-LS,1,LS 29,0.3
MAZDA UK (S1)-LS,1,LS 90,99
MAZDA UK (S1)-LS,1,LS 20,0.6
MAZDA UK (S1)-LS,1,LS 67,0.4
MAZDA WT (S1)-LS,1,LS 90,91.2
MAZDA WT (S1)-LS,1,LS 67,5.6
MAZDA WT (S1)-LS,1,LS 59,2.1
MAZDA WT (S1)-LS,1,LS 20,1.1
MAZDA WT (S2)-LS,1,LS 90,93.2
MAZDA WT (S2)-LS,1,LS 67,4.6
MAZDA WT (S2)-LS,1,LS 20,1.4
MAZDA WT (S2)-LS,1,LS 61,0.5
MAZDA WT (S2)-LS,1,LS 79,0.3
MAZDA WU (S1)-LS,1,LS 90,95.2
MAZDA WU (S1)-LS,1,LS 67,2.2
MAZDA WU (S1)-LS,1,LS 20,1.3
MAZDA WU (S1)-LS,1,LS 79,1.3
MAZDA WU (S2)-LS,1,LS 90,92.2
MAZDA WU (S2)-LS,1,LS 79,4.3
MAZDA WU (S2)-LS,1,LS 67,2.2
MAZDA WU (S2)-LS,1,LS 20,1.3
MAZDA WW (S1)-LS,1,LS 90,90.8
MAZDA WW (S1)-LS,1,LS 67,4.5
MAZDA WW (S1)-LS,1,LS 29,2
MAZDA WW (S1)-LS,1,LS 59,1.8
MAZDA WW (S1)-LS,1,LS 79,0.9
TOYOTA 058 (S2)-LS,1,LS 90,97.2
TOYOTA 058 (S2)-LS,1,LS 67,1.7
TOYOTA 058 (S2)-LS,1,LS 20,1.1
TOYOTA W09 (S2)-LS,1,LS 90,97.3
TOYOTA W09 (S2)-LS,1,LS 20,1.2
TOYOTA W09 (S2)-LS,1,LS 67,1
TOYOTA W09 (S2)-LS,1,LS 79,0.5
KIA UD (S2)-LS,1,LS 90,94.9
KIA UD (S2)-LS,1,LS 69,3
KIA UD (S2)-LS,1,LS 59,1.1
KIA UD (S2)-LS,1,LS 20,1
TOYOTA 068 (S1)-LS,1,LS 90,98
TOYOTA 068 (S1)-LS,1,LS 67,0.9
TOYOTA 068 (S1)-LS,1,LS 20,0.8
TOYOTA 068 (S1)-LS,1,LS 79,0.3
TOYOTA 5A6 (S1)-LS,1,LS 62,48.1
TOYOTA 5A6 (S1)-LS,1,LS 90,37.5
TOYOTA 5A6 (S1)-LS,1,LS 67,8.4
TOYOTA 5A6 (S1)-LS,1,LS 61,4.6
TOYOTA 5A6 (S1)-LS,1,LS 20,0.8
TOYOTA 5A6 (S1)-LS,1,LS 77,0.6
TOYOTA W09 (S1)-LS,1,LS 90,97.4
TOYOTA W09 (S1)-LS,1,LS 67,1.3
TOYOTA W09 (S1)-LS,1,LS 20,0.8
TOYOTA W09 (S1)-LS,1,LS 59,0.3
TOYOTA W09 (S1)-LS,1,LS 79,0.2
RAL 7040 (S1)-LS,1,LS 90,78.8
RAL 7040 (S1)-LS,1,LS 25,9.2
RAL 7040 (S1)-LS,1,LS 69,7.1
RAL 7040 (S1)-LS,1,LS 79,3.6
RAL 7040 (S1)-LS,1,LS 88,0.9
RAL 7040 (S1)-LS,1,LS 44,0.4
RAL 5002 (S1)-LS,1,LS 44,52.3
RAL 5002 (S1)-LS,1,LS 30,31.9
RAL 5002 (S1)-LS,1,LS 90,15.5
RAL 5002 (S1)-LS,1,LS 61,0.3
RAL 1032 (S1)-LS,1,LS 62,62.4
RAL 1032 (S1)-LS,1,LS 67,25.9
RAL 1032 (S1)-LS,1,LS 90,7.2
RAL 1032 (S1)-LS,1,LS 66,3.5
RAL 1032 (S1)-LS,1,LS 77,1
RAL 2000 (S1)-LS,1,LS 62,58
RAL 2000 (S1)-LS,1,LS 66,16.4
RAL 2000 (S1)-LS,1,LS 74,16.3
RAL 2000 (S1)-LS,1,LS 99,7.2
RAL 2000 (S1)-LS,1,LS 77,2.1
TOYOTA 3E5 (S1)-LS,1,LS 86,42.6
TOYOTA 3E5 (S1)-LS,1,LS 74,33.6
TOYOTA 3E5 (S1)-LS,1,LS 82,20.9
TOYOTA 3E5 (S1)-LS,1,LS 90,2.1
TOYOTA 3E5 (S1)-LS,1,LS 20,0.8
AUDI LXK0 (S1)-LS,1,LS 90,97.3
AUDI LXK0 (S1)-LS,1,LS 67,1.6
AUDI LXK0 (S1)-LS,1,LS 20,1
AUDI LXK0 (S1)-LS,1,LS 59,0.1
HYUNDAI SW (S1)-LS,1,LS 90,95
HYUNDAI SW (S1)-LS,1,LS 59,3
HYUNDAI SW (S1)-LS,1,LS 67,1.7
HYUNDAI SW (S1)-LS,1,LS 20,0.3
HYUNDAI 9Z (S1)-LS,1,LS 90,98
HYUNDAI 9Z (S1)-LS,1,LS 59,0.8
HYUNDAI 9Z (S1)-LS,1,LS 20,0.6
HYUNDAI 9Z (S1)-LS,1,LS 67,0.6
TOYOTA 068 (S2)-LS,1,LS 90,94.7
TOYOTA 068 (S2)-LS,1,LS 79,2.7
TOYOTA 068 (S2)-LS,1,LS 67,1.8
TOYOTA 068 (S2)-LS,1,LS 20,0.8
TOYOTA 3E5 (S2)-LS,1,LS 86,48.7
TOYOTA 3E5 (S2)-LS,1,LS 74,35.5
TOYOTA 3E5 (S2)-LS,1,LS 82,14.2
TOYOTA 3E5 (S2)-LS,1,LS 90,1.6
KIA UD (S1)-LS,1,LS 90,96.6
KIA UD (S1)-LS,1,LS 79,1.7
KIA UD (S1)-LS,1,LS 20,0.8
KIA UD (S1)-LS,1,LS 67,0.6
KIA UD (S1)-LS,1,LS 61,0.3
DAEWOO SW0 (S1)-LS,1,LS 90,98.9
DAEWOO SW0 (S1)-LS,1,LS 20,0.6
DAEWOO SW0 (S1)-LS,1,LS 67,0.5
HYUNDAI IA (S1)-LS,1,LS 62,73.5
HYUNDAI IA (S1)-LS,1,LS 90,15.3
HYUNDAI IA (S1)-LS,1,LS 66,10.7
HYUNDAI IA (S1)-LS,1,LS 20,0.5
MAZDA WW (S2)-LS,1,LS 90,95.1
MAZDA WW (S2)-LS,1,LS 67,3.1
MAZDA WW (S2)-LS,1,LS 49,1.1
MAZDA WW (S2)-LS,1,LS 20,0.7
TOYOTA 3J6 (S2)-LS,1,LS 86,81.1
TOYOTA 3J6 (S2)-LS,1,LS 82,17.7
TOYOTA 3J6 (S2)-LS,1,LS 90,1.2
NISSAN 002- (S1)-LS,1,LS 90,98.4
NISSAN 002- (S1)-LS,1,LS 67,0.8
NISSAN 002- (S1)-LS,1,LS 49,0.4
NISSAN 002- (S1)-LS,1,LS 20,0.4
NISSAN D31- (S1)-LS,1,LS 90,96.4
NISSAN D31- (S1)-LS,1,LS 49,2.7
NISSAN D31- (S1)-LS,1,LS 20,0.9
NISSAN 326 (S1)-LS,1,LS 90,95
NISSAN 326 (S1)-LS,1,LS 49,2.2
NISSAN 326 (S1)-LS,1,LS 29,2
NISSAN 326 (S1)-LS,1,LS 67,0.6
NISSAN 326 (S1)-LS,1,LS 79,0.2
MAZDA HS (S1)-LS,1,LS 90,92.3
MAZDA HS (S1)-LS,1,LS 79,4.3
MAZDA HS (S1)-LS,1,LS 67,2.9
MAZDA HS (S1)-LS,1,LS 20,0.5
AUDI LE9D (S1)-LS,1,LS 90,95.7
AUDI LE9D (S1)-LS,1,LS 20,2.8
AUDI LE9D (S1)-LS,1,LS 67,0.8
AUDI LE9D (S1)-LS,1,LS 59,0.7
RAL 1000 (S1)-LS,1,LS 90,80.4
RAL 1000 (S1)-LS,1,LS 62,13.8
RAL 1000 (S1)-LS,1,LS 25,2.8
RAL 1000 (S1)-LS,1,LS 66,2.1
RAL 1000 (S1)-LS,1,LS 67,0.9
RAL 1001 (S1)-LS,1,LS 90,77
RAL 1001 (S1)-LS,1,LS 62,15.1
RAL 1001 (S1)-LS,1,LS 77,3.6
RAL 1001 (S1)-LS,1,LS 25,2.9
RAL 1001 (S1)-LS,1,LS 66,1.4
RAL 1002 (S1)-LS,1,LS 90,64
RAL 1002 (S1)-LS,1,LS 62,16.5
RAL 1002 (S1)-LS,1,LS 67,10.6
RAL 1002 (S1)-LS,1,LS 74,4.8
RAL 1002 (S1)-LS,1,LS 25,2.9
RAL 1002 (S1)-LS,1,LS 66,1.2
RAL 1003 (S1)-LS,1,LS 61,75.6
RAL 1003 (S1)-LS,1,LS 66,17.2
RAL 1003 (S1)-LS,1,LS 59,3.3
RAL 1003 (S1)-LS,1,LS 90,2.7
RAL 1003 (S1)-LS,1,LS 29,1.2
RAL 1004 (S1)-LS,1,LS 62,40.5
RAL 1004 (S1)-LS,1,LS 67,34.7
RAL 1004 (S1)-LS,1,LS 66,10.6
RAL 1004 (S1)-LS,1,LS 90,6.3
RAL 1004 (S1)-LS,1,LS 59,4.6
RAL 1004 (S1)-LS,1,LS 29,3.3
RAL 1005 (S1)-LS,1,LS 62,63.5
RAL 1005 (S1)-LS,1,LS 66,21
RAL 1005 (S1)-LS,1,LS 79,7.5
RAL 1005 (S1)-LS,1,LS 20,5.2
RAL 1005 (S1)-LS,1,LS 67,2.8
RAL 1006 (S1)-LS,1,LS 62,66
RAL 1006 (S1)-LS,1,LS 67,14.4
RAL 1006 (S1)-LS,1,LS 66,10.6
RAL 1006 (S1)-LS,1,LS 74,3.7
RAL 1006 (S1)-LS,1,LS 90,3.4
RAL 1006 (S1)-LS,1,LS 20,1.9
RAL 1007 (S1)-LS,1,LS 62,32.4
RAL 1007 (S1)-LS,1,LS 66,22.6
RAL 1007 (S1)-LS,1,LS 79,20.2
RAL 1007 (S1)-LS,1,LS 67,19.3
RAL 1007 (S1)-LS,1,LS 99,4.8
RAL 1007 (S1)-LS,1,LS 20,0.7
RAL 1011 (S1)-LS,1,LS 67,61.8
RAL 1011 (S1)-LS,1,LS 90,23
RAL 1011 (S1)-LS,1,LS 61,7.2
RAL 1011 (S1)-LS,1,LS 77,4.2
RAL 1011 (S1)-LS,1,LS 25,3.8
RAL 1012 (S1)-LS,1,LS 61,71.7
RAL 1012 (S1)-LS,1,LS 90,19.6
RAL 1012 (S1)-LS,1,LS 66,7
RAL 1012 (S1)-LS,1,LS 25,1.7
RAL 1013 (S1)-LS,1,LS 90,92.3
RAL 1013 (S1)-LS,1,LS 67,6.2
RAL 1013 (S1)-LS,1,LS 20,1.2
RAL 1013 (S1)-LS,1,LS 79,0.3
RAL 1014 (S1)-LS,1,LS 90,74.2
RAL 1014 (S1)-LS,1,LS 67,19.9
RAL 1014 (S1)-LS,1,LS 20,2.3
RAL 1014 (S1)-LS,1,LS 61,1.6
RAL 1014 (S1)-LS,1,LS 79,1.5
RAL 1014 (S1)-LS,1,LS 66,0.5
RAL 1015 (S1)-LS,1,LS 90,87.2
RAL 1015 (S1)-LS,1,LS 67,9.6
RAL 1015 (S1)-LS,1,LS 79,2.3
RAL 1015 (S1)-LS,1,LS 20,0.9
